height,weight,age,gender,activity_level,fitness_level,goal,muscle_mass,body_fat_percentage,body_fat_mass,water,protein_intake,minerals,bmi,calories,protein,carbs,fat
1.693,48.5,35,Female,4,1,gain_muscle,19.6,18.0,8.73,28.61,7.31,2.25,16.92,2206,81.0,317.0,68.2
1.768,77.9,66,Male,1,1,gain_muscle,31.98,22.94,17.87,43.97,12.7,3.79,24.93,2019,141.4,210.8,67.8
1.717,63.8,60,Female,2,1,maintain,29.03,22.16,14.13,35.95,9.26,2.83,21.64,1668,93.7,198.4,55.5
1.55,66.9,55,Female,4,2,gain_muscle,30.25,22.75,15.23,37.21,11.16,3.29,27.86,2278,141.7,271.4,69.5
1.746,82.7,63,Male,2,1,maintain,38.53,11.97,9.89,53.4,13.82,3.76,27.11,2187,108.6,273.9,73.0
1.489,56.7,42,Female,2,1,lose_fat,26.79,39.31,22.31,25.16,6.84,3.1,25.59,1100,77.8,120.7,34.0
1.734,73.4,27,Female,1,2,lose_fat,36.41,38.72,28.41,34.7,8.35,3.47,24.39,1231,99.8,116.4,40.7
1.569,48.0,47,Female,5,3,lose_fat,19.34,38.31,18.39,21.22,5.89,2.18,19.49,1444,69.9,189.9,45.0
1.812,79.2,53,Male,3,2,gain_muscle,31.81,10.19,8.07,50.08,15.6,3.75,24.14,2809,162.5,321.5,97.0
1.755,63.6,55,Male,4,3,lose_fat,29.17,21.54,13.69,36.25,9.03,2.79,20.64,2084,122.7,251.8,65.1
1.787,76.9,39,Male,3,2,gain_muscle,36.73,21.57,16.59,45.46,12.14,3.1,24.07,2862,142.4,368.6,90.9
1.651,72.8,31,Female,3,2,gain_muscle,34.72,31.93,23.25,35.19,10.38,3.68,26.7,2497,153.5,284.9,82.6
1.74,74.4,65,Female,3,2,lose_fat,30.04,36.6,27.25,32.24,8.42,3.63,24.59,1483,106.3,161.8,45.6
1.606,65.9,22,Female,5,2,lose_fat,26.26,31.78,20.96,32.6,9.69,3.37,25.55,2168,99.6,264.4,79.1
1.777,88.1,26,Male,3,2,lose_fat,41.37,19.12,16.84,52.85,13.01,3.47,27.89,2419,145.0,280.0,79.9
1.828,76.9,62,Male,2,1,lose_fat,31.14,25.17,19.36,41.33,10.24,3.29,23.02,1676,110.2,189.1,53.2
1.698,63.8,48,Female,2,1,lose_fat,30.34,25.34,16.17,34.25,8.89,3.08,22.13,1320,92.9,139.4,43.4
1.77,100.8,31,Male,2,2,gain_muscle,50.25,21.4,21.57,58.49,15.45,4.9,32.18,2930,203.6,339.0,84.4
1.6,55.1,56,Female,3,2,gain_muscle,20.64,31.01,17.1,27.63,7.67,2.13,21.54,1971,117.6,236.6,61.6
1.666,60.7,17,Female,3,3,maintain,26.46,26.23,15.94,32.53,9.66,3.55,21.9,2228,112.9,286.4,70.1
1.727,76.3,52,Female,3,1,lose_fat,34.39,39.7,30.29,32.57,8.66,3.62,25.57,1544,95.9,169.0,53.8
1.69,74.5,39,Male,2,3,gain_muscle,33.31,22.68,16.9,42.67,11.79,3.83,26.1,2630,156.1,286.8,95.4
1.615,87.2,53,Female,5,1,gain_muscle,38.47,22.17,19.33,47.22,13.33,4.61,33.46,2959,153.3,354.9,102.9
1.741,75.4,50,Female,2,1,lose_fat,34.02,36.91,27.82,36.21,8.85,3.27,24.85,1360,95.6,136.0,48.2
1.693,71.8,63,Female,1,1,lose_fat,33.76,36.18,25.98,33.88,8.36,3.81,25.06,1100,94.2,94.6,38.3
1.855,79.7,38,Male,2,1,lose_fat,34.92,21.71,17.3,48.55,12.63,3.51,23.17,1933,125.3,234.6,54.8
1.704,84.4,38,Male,3,2,lose_fat,40.61,16.18,13.66,47.52,12.49,3.75,29.07,2279,155.3,258.5,69.3
1.79,91.6,19,Male,5,2,maintain,48.12,8.0,7.32,61.74,15.18,3.53,28.57,3710,162.2,469.4,131.5
1.724,76.2,61,Male,1,1,maintain,38.46,15.77,12.01,46.73,11.99,2.94,25.61,1868,126.8,195.1,64.5
1.634,66.2,38,Female,3,3,gain_muscle,30.13,29.77,19.71,34.36,7.8,2.5,24.79,2471,156.4,262.2,88.5
1.575,65.3,17,Female,3,2,lose_fat,26.54,32.53,21.25,31.5,7.97,3.2,26.32,1637,97.9,192.3,52.9
1.579,71.2,41,Female,1,3,lose_fat,34.14,38.38,27.32,31.44,9.2,3.01,28.56,1100,104.8,83.8,38.4
1.791,90.9,20,Male,3,2,maintain,46.47,30.61,27.84,45.96,12.57,3.61,28.36,2970,152.8,369.9,97.7
1.718,63.4,16,Male,2,3,lose_fat,32.01,24.91,15.79,33.78,9.68,3.1,21.48,1655,107.4,195.2,49.4
1.771,81.3,49,Male,4,3,lose_fat,37.3,21.86,17.78,45.04,12.77,3.66,25.92,2398,156.5,265.5,78.9
1.655,68.4,65,Male,4,2,maintain,28.58,20.62,14.11,38.29,9.98,3.1,24.96,2448,119.1,326.8,73.8
1.778,92.0,55,Male,1,2,lose_fat,41.87,11.09,10.21,58.39,16.91,3.95,29.12,1790,179.4,130.4,61.2
1.73,81.9,52,Male,1,2,lose_fat,42.26,19.98,16.37,49.0,10.98,3.11,27.37,1465,147.7,113.5,46.7
1.82,71.5,43,Male,2,1,maintain,30.19,18.23,13.04,43.06,11.24,3.23,21.57,2247,106.9,283.4,76.2
1.615,70.3,51,Female,1,1,maintain,31.13,21.09,14.82,40.53,11.07,3.83,26.94,1564,104.1,168.5,52.6
